"sampleid","y","x"
"TN 24-2010","35.76165",-86.827263
"TX 23-2010","31.65767",-94.60379
"TX 24-2010","31.11653",-94.856697
"TX 25-2010","30.69476",-94.997787
"WA 01-2010","47.52165",-122.32841
"WA 02-2010","48.14314",-123.82738
"WA 03-2010","48.92653",-122.09487
"WA 04-2010","47.49462",-122.31475
"WA 05-2010","48.4766",-122.3348
"WA 06-2010","48.40775",-122.24343
"WA 07-2010","46.734",-120.604
"WA 08-2010","46.729",-117.14
"WA 09-2010","49.491",-120.502
"WA 11-2010","45.38426",-122.19985
"WA 13-2010","46.745",-120.659
"WA 15-2010","46.734",-120.604
"WA 17-2010","48.81162",-122.57426
"WA 19-2010","46.491",-120.504
"WA 20-2010","46.654",-120.508
"WA 21-2010","46.491",-120.502
"WA 24-2010","47.12253",-122.54143
"WA 25-2010","46.491",-120.502
"AL 01-2011","32.99916",-85.39444
"AL 02-2011","31.25888",-85.590271
"AL 03-2011","32.54861",-85.984718
"AL 04-2011","32.51694",-86.625267
"AL 05-2011","32.85416",-85.579437
"AL 06-2011","31.83805",-86.691666
"AL 07-2011","30.55944",-30.559444
"AL 08-2011","31.48352",-85.433434
"AL 09-2011","31.98356",-85.766815
"AL 10-2011","31.0335",-85.266838
"AL 11-2011","31.30007",-88.366913
"AL 12-2011","30.65007",-88.216835
"AL 13-2011","34.6001",-85.600258
"AL 14-2011","34.05015",-86.400063
"AL 15-2011","34.70013",-86.51667
"AL 16-2011","34.78351",-86.950027
"AL 17-2011","34.18344",-86.166931
"AL 18-2011","33.35",-88.233452
"AL 19-2011","34.85002",-85.600082
"AL 20-2011","33.41672",-87.000175
"AL 21-2011","33.60007",-86.433388
"AL 22-2011","34.76675",-87.366707
"AL 23-2011","33.23344",-86.233391
"AL 24-2011","33.90021",-86.033531
"AL 25-2011","32.46722",-86.152222
"AR 01-2011","34.28297",-91.312889
"AR 02-2011","34.49545",-92.994553
"AR 03-2011","33.429",-93.497551
"AR 04-2011","36.07433",-94.137253
"AR 05-2011","35.5492",-91.198341
"AR 06-2011","35.24253",-94.202522
"AR 07-2011","35.56186",-91.036858
"AR 08-2011","35.9053",-90.623306
"AR 09-2011","35.85154",-90.550072
"AR 10-2011","36.41778",-92.326721
"AR 11-2011","35.71911",-92.342987
"AR 12-2011","35.84447",-92.12439
"AR 13-2011","34.74717",-92.095306
"AR 14-2011","33.17369",-91.913254
"AR 15-2011","33.50273",-91.315224
"AR 16-2011","36.19649",-93.03833
"AR 17-2011","35.9053",-90.623306
"AR 18-2011","36.09459",-94.166359
"AR 19-2011","35.90655",-92.164169
"AR 20-2011","36.0452",-92.089287
"AR 21-2011","34.75017",-92.017471
"AR 22-2011","33.59736",-91.219643
"AR 23-2011","34.48003",-94.391998
"AR 24-2011","34.83556",-91.952942
"AR 25-2011","36.27244",-93.222214
"CA 01-2011","33.36161",-117.19898
"CA 03-2011","36.21076",-119.34863
"CA 04-2011","33.21212",-117.04894
"CA 06-2011","33.469",-117.00424
"CA 07-2011","33.51001",-117.06267
"CA 08-2011","33.94125",-117.87815
"CA 09-2011","33.18378",-117.19633
"CA 10-2011","33.43534",-117.32634
"CA 11-2011","34.23437",-117.41081
"CA 11B-2011","34.23437",-117.41081
"CA 12-2011","33.45082",-117.32439
"CO 01-2011","38.24388",-104.49387
"CO 02-2011","38.57055",-104.64187
"CO 03-2011","38.57055",-104.64187
"CO 04-2011","38.45101",-107.90951
"CO 05-2011","39.19652",-108.65395
"CO 06-2011","39.53131",-107.68156
"CO 07-2011","39.35919",-103.08096
"CO 08-2011","39.31251",-103.08134
"CO 09-2011","38.66435",-108.09741
"CO 11-2011","38.42244",-107.8726
"CO 12-2011","39.52642",-107.64054
"CO 13-2011","38.22364",-104.39984
"CO 14-2011","38.42917",-104.99685
"CO 16-2011","39.54836",-105.10177
"CO 17-2011","38.22002",-104.39741
"CO 18-2011","38.21448",-104.44427
"CO 19-2011","38.57055",-104.64187
"CO 20-2011","38.23878",-104.42275
"CO 22-2011","40.38362",-105.05092
"GA 01-2011","31.66684",-83.183479
"GA 02-2011","31.23786",-83.628082
"GA 03-2011","31.36668",-83.033447
"GA 04-2011","32.15095",-82.5634
"GA 05-2011","30.93472",-84.650681
"GA 06-2011","31.49",-84.246773
"GA 07-2011","30.91332",-84.53656
"GA 08-2011","31.49707",-82.343903
"GA 09-2011","32.24971",-81.918701
"GA 10-2011","31.98096",-82.356361
"GA 11-2011","31.49239",-82.295708
"GA 12-2011","32.03692",-82.412086
"GA 13-2011","31.99117",-82.668411
"GA 14-2011","31.17346",-82.124489
"GA 15-2011","31.15182",-82.048698
"GA 16-2011","32.15117",-82.02137
"GA 17-2011","31.47688",-82.159843
"GA 18-2011","32.31855",-82.689972
"GA 19-2011","31.57684",-81.969109
"GA 20-2011","31 80927",-82.508537
"GA 21-2011","31.53282",-81.84726
"GA 22-2011","31.01683",-83.483353
"GA 23-2011","31.10014",-82.616791
"GA 24-2011","31.7855",-82.565193
"GA 25-2011","31.45717",-82.240608
"HI 01-2011","20.79725",-156.94905
"HI 02-2011","20.88107",-156.89346
"HI 04-2011","22.10248",-159.37315
"HI 12-2011","21.50021",-157.06667
"HI 15-2011","21.54911",-58.096088
"HI 17-2011","19.61054",-155.94647
"HI 18-2011","19.17322",-155.86528
"HI 19-2011","21.91514",-159.51358
"HI 21-2011","19.68226",-155.37166
"HI 22-2011","21.18352",-156.98349
"HI 23-2011","21.05171",-156.87544
"HI 24-2011","21.96606",-159.39946
"IA 01-2011","43.46766",-116.49726
"IA 02-2011","43.5663",-116.77316
"IA 03-2011","43.65605",-116.81272
"IA 04-2011","42.63079",-114.76076
"IA 05-2011","44.54684",-14.184128
"IA 06-2011","42.67364",-14.762808
"IA 07-2011","46.43283",-14.929528
"IA 08-2011","43.89178",-16.513573
"IA 09-2011","48.76441",-16.372904
"IA 10-2011","45.15425",-14.829847
"IA 11-2011","43.3602",-114.22565
"ID 05-2011","42.45719",-87.954453
"ID 06-2011","41.69372",-87.609596
"ID 10-2011","38.13027",-89.48111
"ID 15-2011","39.03777",-38.941944
"ID 21-2011","40.15527",-91.098335
"ID 23-2011","41.31861",-89.164444
"IL 01-2011","41.45574",-86.467674
"IL 02-2011","41.59342",-86.39106
"IL 03-2011","39.86488",-86.489449
"IL 04-2011","40.40701",-87.08474
"IL 05-2011","39.566",-86.383102
"IL 06-2011","40.82143",-88.806252
"IL 07-2011","39.12031",-85.092323
"IL 08-2011","39.35797",-86.579025
"IL 09-2011","39.38313",-86.624321
"IL 10-2011","39.19741",-85.108482
"IL 11-2011","39.00124",-84.983208
"IL 12-2011","39.71447",-86.570717
"IL 13-2011","39.74056",-85.762711
"IL 14-2011","41.48484",-85.968262
"IL 15-2011","38.77381",-86.141197
"IL 16-2011","38.80382",-86.177139
"IL 17-2011","38.56681",-86.365707
"IL 18-2011","38.27037",-85.99968
"IL 19-2011","40.66198",-85.655571
"IL 20-2011","40.66415",-85.645981
"IL 21-2011","40.81419",-85.387657
"IL 22-2011","38.63576",-87.491287
"IL 23-2011","40.96874",-86.549011
"IL 24-2011","40.86623",-85.468788
"IL 25-2011","39.30736",-87.444992
"IN 01-2011","41.78357",-93.700119
"IN 02-2011","41.51784",-94.008423
"IN 03-2011","42.08352",-93.214912
"IN 04-2011","42.7619",-91.365067
"IN 05-2011","42.77732",-91.352707
"IN 06-2011","42.77639",-91.129898
"IN 07-2011","42.0071",-93.597809
"IN 08-2011","43.45822",-92.128418
"IN 09-2011","40.63288",-94.707603
"IN 10-2011","40.6401",-94.547157
"IN 11-2011","41.59058",-92.789627
"IN 12-2011","41.3733",-94.376053
"IN 13-2011","40.85173",-92.196808
"IN 14-2011","41.83121",-94.126663
"IN 15-2011","41.77545",-92.798218
"IN 16-2011","41.75226",-92.84758
"IN 17-2011","41.50031",-93.729729
"IN 18-2011","42.11129",-93.589668
"IN 19-2011","42.15957",-93.974838
"IN 20-2011","41.96497",-93.378166
"IN 21-2011","41.54088",-93.587959
"IN 22-2011","42.15005",-95.226799
"IN 23-2011","41.6188",-95.421066
"IN 24-2011","40.87117",-91.933449
"IN 25-2011","40.625",-91.598999
"LA 01-2011","32.57194",-91.826942
"LA 02-2011","32.53555",-92.296379
"LA 03-2011","30.51833",-91.096107
"LA 04-2011","30.75138",-91.085274
"LA 05-2011","30.64916",-90.071114
"LA 06-2011","30.56722",-92.288612
"LA 07-2011","30.48666",-91.857224
"LA 08-2011","31.01966",-91.369438
"LA 09-2011","30.85277",-91.663742
"LA 10-2011","30.28356",-91.18351
"LA 11-2011","31.03555",-91.916862
"LA 12-2011","30.95018",-92.166771
"LA 13-2011","30.13535",-92.292923
"LA 14-2011","30.21515",-92.493584
"LA 15-2011","30.21674",-92.150017
"LA 16-2011","29.73342",-90.666672
"LA 17-2011","29.73333",-90.633438
"LA 18-2011","30.23",-92.020508
"LA 19-2011","32.03791",-93.699142
"LA 20-2011","32.78265",-93.654549
"LA 21-2011","30.504",-90.748367
"MD 01-2011","39.33058",-77.194466
"MD 02-2011","39.5992",-77.782257
"MD 03-2011","39.6096",-77.698387
"MD 04-2011","39.55657",-77.754387
"MD 05-2011","39.52723",-77.787003
"MD 06-2011","39.30976",-79.482224
"MD 07-2011","39.67768",-78.496262
"MD 08-2011","39.5169",-77.413834
"MD 09-2011","39.41517",-77.473022
"MD 10-2011","39.2613",-76.427513
"MD 11-2011","39.64394",-76.382751
"MD 12-2011","39.22033",-77.220863
"MD 13-2011","39.22035",-77.220863
"MD 14-2011","39.22026",-77.225868
"MD 15-2011","39.4679",-76.336319
"MD 16-2011","39.44303",-6.3700261
"MD 17-2011","39.66811",-77.103554
"MD 18-2011","39.66398",-76.885269
"MD 19-2011","39.4679",-76.336319
"MI 01-2011","43.63433",-85.49337
"MI 02-2011","43.89116",-85.62722
"MI 03-2011","43.09246",-85.775558
"MI 04-2011","43.89116",-85.62722
"MI 05-2011","42.77326",-86.145279
"MI 06-2011","42.7603",-86.083061
"MI 07-2011","42.85733",-85.197144
"MI 08-2011","43.91402",-84.928131
"MI 09-2011","43.7126",-84.948303
"MI 10-2011","43.26103",-84.215027
"MI 11-2011","43.27151",-84.150291
"MI 12-2011","43.34442",-84.095741
"MI 13-2011","43.0474",-83.878036
"MI 14-2011","44.97155",-84.767143
"MI 15-2011","44.00709",-82.828629
"MI 16-2011","43.98348",-84.531776
"MI 17-2011","43.53672",-82.658203
"MI 18-2011","43.32434",-83.134071
"MI 19-2011","43.33071",-82.891167
"MI 20-2011","42.03102",-86.260353
"MI 21-2011","43.6537",-82.873848
"MI 22-2011","43.6144",-82.88932
"MI 23-2011","42.0699",-86.274078
"MI 24-2011","41.8866",-84.615273
"MI 25-2011","45.0312",-85.662453
"MT 01-2011","46.64425",-112.08478
"MT 02-2011","46.65297",-112.00895
"MT 03-2011","45.68122",-107.61195
"MT 04-2011","46.8764",-113.90942
"MT 05-2011","46.9654",-114.12062
"MT 06-2011","46.83921",-114.05573
"MT 07-2011","45.15989",-112.7121
"MT 08-2011","47.47162",-111.34245
"MT 09-2011","45.73549",-108.63317
"MT 10-2011","45.3269",-108.99927
"NC 01-2011","40.85089",-96.749123
"NC 02-2011","40.85089",-96.749123
"NC 03-2011","40.62148",-96.631485
"NC 04-2011","40.62148",-96.631485
