	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	nosema	nosema	lnnosema1	nosema_d	mites	lnmites1	abpv_d	abpv_d	bqcv_d	dwv_d	cbpv_d	iapv_d	kbv_d	nosema	cbpv_d
															
		(0.0502)	(0.0211)	(0.125)	(0.458)	(0.0474)	(0.218)	(0.221)	(0.205)	(0.252)	(0.418)	(0.307)	(0.428)	(0.0496)	(0.415)
migratory_proxy	0.122**														
	(0.0483)														
_Iyear_2010				-0.552**			-1.718*	-1.556		-0.102			-2.526*		
				(0.276)			(0.944)	(0.951)		(0.708)			(1.365)		
o._Iyear_2014				-			-	-	-	-	-		-		-
															
region2							0.686*				1.327***				1.274***
							(0.350)				(0.448)				(0.439)
region3							1.504***								
							(0.446)								
region6							2.264***					0.622			
							(0.722)					(0.758)			
o._Iregion_5								-							
															
o._Iyear_2013									-	-					
															
lnmites1										0.530***					
										(0.140)					
Constant	0.189	0.251	0.131	-0.0690	4.211**	1.084***	-3.728**	-3.241*	5.612***	3.107*	-2.315	-5.491***	-10.58***	0.224	-1.752
	(0.179)	(0.183)	(0.0842)	(0.640)	(1.655)	(0.254)	(1.655)	(1.730)	(1.570)	(1.758)	(1.795)	(1.769)	(2.935)	(0.176)	(1.992)
															
Observations	1,878	1,877	1,877	1,877	1,879	1,879	1,093	1,062	957	1,122	967	1,095	503	1,877	967
R-squared	0.101	0.100	0.134		0.150	0.237								0.099	
Robust standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
